Vessel,Quarter,Days,Avg Day Rate,Total Cost,Total Revenue
SW Bly,Q1-2025,69,,,
SW Bly,Q2-2025,86,,,
SW Tasman,Q1-2025,82,,,
SW Tasman,Q2-2025,92,,,
SW Tasman,Q3-2025,60,,,
SW Tasman,Q4-2025,93,,,
SW Gallien,Q1-2025,83,437225.0,31144218.0,
SW Gallien,Q2-2025,92,437225.0,31144218.0,
SW Gallien,Q3-2025,61,,,
SW Gallien,Q4-2025,93,,,
Amazon Warrior,Q1-2025,90,,28461848.0,
Amazon Warrior,Q2-2025,92,,28461848.0,
Amazon Warrior,Q3-2025,92,,,
Amazon Warrior,Q4-2025,65,,,
Oceanic Sirius,Q1-2025,59,,,
Oceanic Sirius,Q2-2025,21,,,
Amazon Conqueror,Q3-2025,49,,30469160.0,
Oceanic Vega,Q1-2025,93,,,
Oceanic Vega,Q2-2025,148,,,
Oceanic Vega,Q3-2025,20,,,
SW Duchess,Q1-2025,58,,,
SW Duchess,Q2-2025,26,,,
SW Duchess,Q3-2025,81,,,
SW Thuridur,Q1-2025,80,,,
Island Pride,Q2-2025,76,,,
Island Pride,Q3-2025,92,,,
Island Pride,Q4-2025,77,,,
SW Empress,Q1-2025,91,,,
SW Empress,Q2-2025,54,,,
SW Empress,Q3-2025,92,,,
SW Empress,Q4-2025,26,,30469160.0,
